id	author_id	base_language	text	posted_time_in_years
10325	578	hin	thomson: it was the bjp government that unearthed the  . thompson: to be precise bjp ka unearth ho gaya	2018
10610	578	hin	babas get minister status in mp. the government will start getting kripa	2018
10917	578	hin	the politics of humour, beautifully explained	2018
11308	578	hin	அது உங்கள் தனிக்கருத்து   always ask, never tell. democratic politics will produce backlash if you make presumptive statement.. statistics cannot resolve cultural differences  in aankdon ki masti ke mastane hazaron hain 	2018
12274	578	hin	faizabad district to be renamed as ayodhya: yogi adityanath (only ashwamedha yagna left to be done)	2018
13507	578	hin	"""jisko aap tashan kahte ho usey main gaurav kahta hoon' fascinating episode of  by  on  with  of   shot like a movie with a strong sense of camera, narrative and articulation on  politics."	2019
1797	578	hin	now brett lee has retired, waiting for kunal kohli, siddarth anand or other chikna directors to cast him in bollywood. guitar bhi bajata hai	2015
2121	578	hin	salman shah rukh ke mulk mein meri kya majaal ;-). waise hamari fitrat alag hai aur hamari mehfil bhi  	2015
7531	578	hin	, bollywood style opposition - dangal black money walas - raees media - kahani  commoners- dear zindagi sarkar - befikre	2016
7582	578	hin	arrey hamein sharminda na karo - old bollywood line 	2016
13525	578	hin	needs an old helen song from bollywood, with all its slow movement striptease. brexit tu ab toh aaja...	2019
21906	578	hin	these penalty-shopping footballers do all sorts of bollywood acts. saala nautanki types	2021
22216	578	hin	somewhere in bollywood, an amateur writer is scripting a  biopic: with maa ka pyaar, badon ka aashirwad, school bully, sweating, thaan lena, love song in the khet, and lots of tiranga. hit assured.	2021
804	3463	hin	"you make me dream! "":   manoj:dd as srk: tag heur”"	2014
1153	3463	hin	bandstand yaha par pyaar ho raha hai @ band stand near mannat srk house bandra	2014
11111	3463	hin	script writer to bollywood producer from bandra - sir, big story idea hai. revolutionary story! travel karna hoga, jordon, egypt, estonia  paise chahiye.   bandra producer - abe chutiye - rickshaw le, bagel shop ja aur likh wa pe.	2018
1655	531	hin	whatever. he is muslim fine. but his job is not to do politics. else so called tabdeeli nahi hogi. army should stay in barracks	2014
35	297	hin	tera hero idhar hai:  alternative careers for arvind kejriwal	2014
197	2651	hin	: what a pity nitish kr thanking lalu &amp; seeking support to fight bjp.this marks the end of nitish politics.	2014
3218	2651	hin	politics or politicians me chota sa farak hai (ians) income area networks ye thik ho jae na to sab patri par aa jae	2015
10092	2946	hin	tum kaun si row me ho? divisive politics.	2018
15739	2362	hin	chill pill lo politics hai	2019
14942	1135	hin	bhai saab you really believe rbi is the sole custodian of our wealth? rbi is subservient to government, not the other way around. agenda chalana band kijiye	2019
2993	1135	hin	bhaijaan times now dekhiye. aapki bhabhiji band bajane aa rahi hain!!!	2015
14166	1135	hin	hhaahahahahaha ye alag duniya me rehti hai. bollywood is ruled by nuts.	2019
14779	1135	hin	mubarak ho. wifi theek ho gaya aapka bhaijaan	2019
66	2303	hin	""":  kya aaj bhi srk daru peekar bawal karega? like last time. """	2014
22292	154	hin	petty arguments over politics &amp; ideology on a daily basis must be avoided. we must all think of the bigger picture! let’s try &amp; leave our inane daily issues aside &amp; work together to strengthen our country in every way! let’s start by being united, by being one. jai hind! /	2021
237	4249	hin	salary increase. da merging of central government employees.	2014
3730	3199	hin	only becoz your government did anything and everything to see that truth never comes out. baap ne maal to khaya tha	2015
33	238	hin	"seeing the new trend of shortening politicians' names as ""namo"" n ""raga"", harish goyal and mukesh tomar have decided to quit politics!"	2014
1635	238	hin	"""hand grenade se darr nahi lagta sahab. pomegranate se lagta hain”  salman khan’s next movie"	2014
907	2581	hin	the government must consider pivotal reforms, rather than luxuriate in the current economic recovery via	2014
